series,custom name,total count
UNITED MOTORS OF AMERICA/Genesis,Miles traveled,1171.1814646163732
Mercedes-Benz/CLA-Class,Miles traveled,1167.43853055319
Jeep/Grand Wagoneer,Miles traveled,1157.1342522207522
Haval/H6,Miles traveled,1136.0351147568251
ZEEKR/X,Miles traveled,1135.6112071708167
Land Rover/Discovery,Miles traveled,1134.5792228706157
Iveco/Daily,Miles traveled,1132.1883762517568
Audi/RS 5,Miles traveled,1122.4722951355727
Toyota/Urban Cruiser,Miles traveled,1117.0246701713195
Kia/sporttagee,Miles traveled,1086.3637381882663
Dacia/Dokker,Miles traveled,1071.2670165564136
Kia/Sonet,Miles traveled,1063.1463509878079
Toyota/Belta,Miles traveled,1056.5614566311763
BYD/Qin,Miles traveled,1052.908976036779
Volkswagen/Virtus,Miles traveled,1051.869821239647
